techs,flow_out_eff
Trade_Markets_ESP_10_natural_gas_transmission,1.0
Trade_Markets_ESP_11_coal_transmission,1.0
Trade_Markets_ESP_11_natural_gas_transmission,1.0
Trade_Markets_ESP_11_oil_fuel_transmission,1.0
Trade_Markets_ESP_11_uranium_transmission,1.0
Trade_Markets_ESP_1_coal_transmission,1.0
Trade_Markets_ESP_1_natural_gas_transmission,1.0
Trade_Markets_ESP_2_coal_transmission,1.0
Trade_Markets_ESP_2_natural_gas_transmission,1.0
Trade_Markets_ESP_2_oil_fuel_transmission,1.0
Trade_Markets_ESP_2_uranium_transmission,1.0
Trade_Markets_ESP_3_natural_gas_transmission,1.0
Trade_Markets_ESP_4_natural_gas_transmission,1.0
Trade_Markets_ESP_5_coal_transmission,1.0
Trade_Markets_ESP_5_natural_gas_transmission,1.0
Trade_Markets_ESP_6_natural_gas_transmission,1.0
Trade_Markets_ESP_6_oil_fuel_transmission,1.0
Trade_Markets_ESP_6_uranium_transmission,1.0
Trade_Markets_ESP_7_coal_transmission,1.0
Trade_Markets_ESP_7_natural_gas_transmission,1.0
Trade_Markets_ESP_7_uranium_transmission,1.0
Trade_Markets_ESP_8_uranium_transmission,1.0
Trade_Markets_ESP_9_coal_transmission,1.0
Trade_Markets_ESP_9_natural_gas_transmission,1.0
battery_CN,0.9273
battery_CZ,0.9273
battery_ESP,0.9273
battery_HU,0.9273
battery_PL,0.9273
battery_US,0.9273
biogas_to_electricity_supply_BEL,0.4
biogas_to_electricity_supply_CAN,0.4
biogas_to_electricity_supply_FR,0.4
biogas_to_electricity_supply_FSM,0.4
biogas_to_electricity_supply_UK,0.4
biogas_to_electricity_supply_USA,0.4
biomass_ESP,0.28
biomass_FR,0.28
biomass_IT,0.28
existing_biogas_to_electricity_supply,0.4
existing_biomass,0.28
existing_ccgt,0.58
existing_chp,0.47
existing_coal,0.37
existing_nuclear,0.4
existing_oil_and_other,0.35
existing_pumped_hydro,0.75
existing_wte,0.23
pumped_hydro_CN,0.75
